status2016,cprnr,optag_aar,ADGGRU,kvotient,geobag,Aldop,NAVN,postnr,geoinst,institution,campus,kon,type_optag,ramme_retning_optag,ramme_2016,studienaevn2016,orlov2016,MAT,Niveau_MAT,oprindelse_MAT,DAN,Niveau_DAN,oprindelse_DAN,ENG,NIveau_ENG,oprindelse_ENG,staa,efter_adgeksamen,ECTS,Frafalden,,,,,
Indskrevet,,2015,HHX,6,Øst for Storebæl,24,,2000,Øst for Storebælt,Handelsskolen København Nord,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,6,B,portal,6,A,portal,8.5,A,portal,1,3 år,60,FALSE,,,,,
Indskrevet,,2015,HTX,6.2,Nordjyll.,19,,9210,Østjylland,AARHUS TECH,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.5,A,portal,6.25,A,portal,7,B,portal,0.92,0 år,55,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),6.1,Nordjyll.,27,,9000,Fyn og øer,Vestfyns Gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.75,B,portal,4,A,portal,9,A,portal,0.75,> 4 år,45,FALSE,,,,,
Indskrevet,,2015,HTX,4.9,Nordjyll.,21,,9000,Øst for Storebælt,Københavns Tekniske Skole,Aalborg,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,A,portal,4,A,portal,5,B,portal,0.83,0 år,50,FALSE,,,,,
Indskrevet,,2015,HF,7.8,Øst for Storebæl,23,,4700,Øst for Storebælt,VUC Storstrøm,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,9.5,B,indtastet,9.5,A,portal,10,B,portal,0.83,0 år,50,FALSE,,,,,
Afbrudt,,2015,Udenlandsk adg.grundlag,8.6,Sydjyl.til Århus,25,,7135,Ikke Danmark,Institution ikke oplyst,Aalborg,Kvinder,bachelor,Medialogi,,,,7,B,indtastet,,,,,,,0.08,> 4 år,5,TRUE,,,,,
Indskrevet,,2015,HTX,7.8,Nordjyll.,21,,9000,Fyn og øer,Syddansk Erhvervsskole Odense-Vejle,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,5.5,B,portal,8,A,portal,8,A,portal,0.83,0 år,50,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),4.3,Øst for Storebæl,24,,2830,Øst for Storebælt,Virum Gymnasium,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,0,A,portal,7,A,portal,5.5,A,portal,0.92,> 4 år,55,FALSE,,,,,
Indskrevet,,2015,HTX,5.6,Øst for Storebæl,21,,2605,Østjylland,Viden Djurs,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,8.5,B,portal,4.333333333,A,portal,9,B,portal,1,0 år,60,FALSE,,,,,
Indskrevet,,2015,Udenlandsk adg.grundlag,3.9,Øst for Storebæl,26,,2118,Ikke Danmark,Institution ikke oplyst,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,2,B,indtastet,,,,7,B,indtastet,1,> 4 år,60,FALSE,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),9.5,Øst for Storebæl,19,,2700,Øst for Storebælt,Nørre Gymnasium,Kbh.,Mænd,bachelor,Medialogi,,,,10.66666667,A,portal,5,A,portal,9.25,B,portal,0.42,0 år,25,TRUE,,,,,
Indskrevet,,2015,HTX,7.1,Sydjyl.til Århus,21,,7860,Midt-Vestjylland,Skive Tekniske Skole,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,1,B,portal,2.666666667,A,portal,10,A,portal,0.83,1 år,50,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),4.6,Midtjyll.,21,,8462,Østjylland,Langkær Gymnasium og HF,Aalborg,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,2,A,indtastet,,,,10,A,indtastet,0.42,0 år,25,FALSE,,,,,
Indskrevet,,2015,Ny student (påb. 2005 -),8.3,Øst for Storebæl,22,,2100,Øst for Storebælt,Ingrid Jespersens Gymnasieskole,Kbh.,Kvinder,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,11,B,indtastet,7,A,portal,7,A,portal,1,3 år,60,FALSE,,,,,
Afbrudt,,2015,Ny student (påb. 2005 -),7.1,Øst for Storebæl,20,,2000,Mangler skole,Institution ikke oplyst,Kbh.,Mænd,bachelor,Medialogi,,,,7,B,indtastet,,,,7,A,indtastet,0,1 år,0,TRUE,,,,,
Indskrevet,,2015,HHX,7,Øst for Storebæl,20,,2450,Øst for Storebælt,Campus Bornholm,Kbh.,Mænd,bachelor,Medialogi,Bacheloruddannelse - BSc Medialogi,Medieteknologi,0,7,A,portal,6.25,A,portal,5,A,portal,0.92,1 år,55,FALSE,,,,,
